"crash_unit_id","crash_record_id","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"1853618","16666580c2d289aedbbc29907671d4ff3a868ab972b6268c261df30b2ced1e003a66724b6f1821d24d80edcec4410d277969e34d59b6d5454c4a2be7cb5036b0","2024-06-30T02:47:00.000","1","DRIVER",,"1765798",,"KIA","FORTE","IL",,"UNKNOWN","PASSENGER","UNKNOWN/NA","N","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,"N",,"Y","FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853619","16666580c2d289aedbbc29907671d4ff3a868ab972b6268c261df30b2ced1e003a66724b6f1821d24d80edcec4410d277969e34d59b6d5454c4a2be7cb5036b0","2024-06-30T02:47:00.000","2","PEDESTRIAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853597","1bef74541a6dc2d3aa275e59e5cff89dcca1d0ce4606950924c0ced8e5571f6c9f5d2623f54b3664d89a82a1013540386bd2531c1bda81e2363450e1ce856ae5","2024-06-30T02:30:00.000","1","DRIVER",,"1765768",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)","IL",,"UNKNOWN","PASSENGER","UNKNOWN/NA","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,,"Y","FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853598","1bef74541a6dc2d3aa275e59e5cff89dcca1d0ce4606950924c0ced8e5571f6c9f5d2623f54b3664d89a82a1013540386bd2531c1bda81e2363450e1ce856ae5","2024-06-30T02:30:00.000","2","DRIVER",,"1765769",,"KIA","FORTE","IL","2017","NONE","PASSENGER","PERSONAL","S","SLOW/STOP IN TRAFFIC",,,"1",,,,,,,,,"Y","Y","Y",,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853599","25c40ebde4b673920943cf494fb0a0a310e17059982e93b33f40ab8a8db17df2d68ca3c66fc3555bd988299c22576c314a4e68cbd655e1c3f7b7732348a5df68","2024-06-30T02:15:00.000","1","DRIVER",,"1765770",,"NISSAN","MURANO","IL","2009","UNKNOWN","PASSENGER","UNKNOWN/NA","UNKNOWN","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853600","25c40ebde4b673920943cf494fb0a0a310e17059982e93b33f40ab8a8db17df2d68ca3c66fc3555bd988299c22576c314a4e68cbd655e1c3f7b7732348a5df68","2024-06-30T02:15:00.000","2","DRIVER",,"1765775",,"CHEVROLET","IMPALA","IL","2020","NONE","PASSENGER","PERSONAL","E","SLOW/STOP IN TRAFFIC",,,"1",,,,,"Y",,,,"Y","Y","Y",,,,"Y","Y",,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853580","1e65651466fad115e0f4990777ea60081430cd24db057483c080bb359c97075fd216e5875397ad4b2e0b6f0227d5a596d1d821e26b173aa836483932e3e62d84","2024-06-30T01:54:00.000","1","DRIVER",,"1765755",,"NISSAN","ROGUE","IL","2020","UNKNOWN","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,"Y",,,,,,,,,,,,,"FRONT-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853581","1e65651466fad115e0f4990777ea60081430cd24db057483c080bb359c97075fd216e5875397ad4b2e0b6f0227d5a596d1d821e26b173aa836483932e3e62d84","2024-06-30T01:54:00.000","2","DRIVER",,"1765774","Y","FONTAINE TRUCK EQUIPMENT COMPANY","FONTAINE TRUCK EQUIPMENT CO.","IN","2016","UNKNOWN","TRACTOR W/ SEMI-TRAILER","CONSTRUCTION/MAINTENANCE","N","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,"Y",,,,"SIDE-LEFT","19556",,,,,,"SWIFT TRANSPORTATION CO OF ARIZONA LLC","IN","GARY",,,,"N","U",,"U",,"N","N",,,,,,,,,"TRUCK/TRACTOR","FLATBED","UNKNOWN","N","N",
"1853592","a21029e641f23a50dde5db7d7ac35284e1ba95303666e2a4acfc31652db7327859e27963192adada8c3706d0b35b08093fda7f7f3e27dd82f1da7423f55d5e63","2024-06-30T01:00:00.000","1","DRIVER","1","1765762",,"FORD","ESCAPE","IL","2001","UNKNOWN","PASSENGER","PERSONAL","N","UNKNOWN/NA","Y",,"2",,"city of chicago","pound 1",,,,,,,,,,,"Y","Y",,"Y","FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853593","a21029e641f23a50dde5db7d7ac35284e1ba95303666e2a4acfc31652db7327859e27963192adada8c3706d0b35b08093fda7f7f3e27dd82f1da7423f55d5e63","2024-06-30T01:00:00.000","2","PARKED",,"1765765",,"ACURA","TLX","IL","2005","UNKNOWN","PASSENGER","PERSONAL","N","PARKED",,,"0",,,,,,,"Y","Y","Y",,,,,,,,"Y","REAR-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853553","525dad238435cd362c200e201cc91c31dce1674c81f57bb4fd3ba1470697927e8514da51ee904734fb40c214e1e1504a23999b58de566c123c8fc8dc6a9215c1","2024-06-30T00:58:00.000","1","DRIVER",,"1765729",,"HONDA","CIVIC","IL","2016","UNKNOWN","PASSENGER","PERSONAL","N","STRAIGHT AHEAD","Y",,"1",,,,,"Y",,,,,,,,,,"Y","Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853554","525dad238435cd362c200e201cc91c31dce1674c81f57bb4fd3ba1470697927e8514da51ee904734fb40c214e1e1504a23999b58de566c123c8fc8dc6a9215c1","2024-06-30T00:58:00.000","2","PARKED",,"1765732",,"HONDA","HR-V","IL","2017","UNKNOWN","PASSENGER","UNKNOWN/NA","N","PARKED","Y",,"0",,,,,,,,,"Y","Y","Y",,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853544","64f9726fd75a5303ed41882f3a30cf3e791fcbcf000a435f31d68919d8695ebd4655d145bfe468b9ea41151f52a798badb849123df56278176265ab61f8dc9e1","2024-06-30T00:52:00.000","1","DRIVER",,"1765712",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)",,,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","N","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
