"crash_record_id","crash_date_est_i","crash_date","posted_speed_limit","traffic_control_device","device_condition","weather_condition","lighting_condition","first_crash_type","trafficway_type","lane_cnt","alignment","roadway_surface_cond","road_defect","report_type","crash_type","intersection_related_i","private_property_i","hit_and_run_i","damage","date_police_notified","prim_contributory_cause","sec_contributory_cause","street_no","street_direction","street_name","beat_of_occurrence","photos_taken_i","statements_taken_i","dooring_i","work_zone_i","work_zone_type","workers_present_i","num_units","most_severe_injury","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident","injuries_no_indication","injuries_unknown","crash_hour","crash_day_of_week","crash_month","latitude","longitude","location"
"16666580c2d289aedbbc29907671d4ff3a868ab972b6268c261df30b2ced1e003a66724b6f1821d24d80edcec4410d277969e34d59b6d5454c4a2be7cb5036b0",,"2024-06-30T02:47:00.000","25","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","PEDESTRIAN","ONE-WAY",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,"Y","$500 OR LESS","2024-06-30T03:16:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","618","N","RIDGEWAY AVE","1122",,,,,,,"2","NONINCAPACITATING INJURY","1","0","0","1","0","1","0","2","1","6","41.892350763","-87.720030414","POINT (-87.720030414323 41.892350762951)"
"1bef74541a6dc2d3aa275e59e5cff89dcca1d0ce4606950924c0ced8e5571f6c9f5d2623f54b3664d89a82a1013540386bd2531c1bda81e2363450e1ce856ae5",,"2024-06-30T02:30:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-06-30T03:45:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","6258","S","PRINCETON AVE","711",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","2","1","6","41.779992613","-87.632772105","POINT (-87.632772104769 41.779992612999)"
"25c40ebde4b673920943cf494fb0a0a310e17059982e93b33f40ab8a8db17df2d68ca3c66fc3555bd988299c22576c314a4e68cbd655e1c3f7b7732348a5df68",,"2024-06-30T02:15:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAWN","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,"Y","OVER $1,500","2024-06-30T03:40:00.000","OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER","NOT APPLICABLE","3345","W","MADISON ST","1124",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","2","1","6","41.880813648","-87.710225091","POINT (-87.710225090612 41.880813648339)"
"1e65651466fad115e0f4990777ea60081430cd24db057483c080bb359c97075fd216e5875397ad4b2e0b6f0227d5a596d1d821e26b173aa836483932e3e62d84",,"2024-06-30T01:54:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-06-30T02:16:00.000","IMPROPER OVERTAKING/PASSING","ROAD CONSTRUCTION/MAINTENANCE","1700","S","WENTWORTH AVE","914",,,,"Y","CONSTRUCTION","Y","2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","1","1","6","41.858199347","-87.632056005","POINT (-87.632056004781 41.858199347166)"
"a21029e641f23a50dde5db7d7ac35284e1ba95303666e2a4acfc31652db7327859e27963192adada8c3706d0b35b08093fda7f7f3e27dd82f1da7423f55d5e63",,"2024-06-30T01:00:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,"Y","OVER $1,500","2024-06-30T01:08:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","3006","N","LOWELL AVE","2523",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","1","1","6","41.935570313","-87.736061344","POINT (-87.736061344246 41.935570313493)"
"525dad238435cd362c200e201cc91c31dce1674c81f57bb4fd3ba1470697927e8514da51ee904734fb40c214e1e1504a23999b58de566c123c8fc8dc6a9215c1",,"2024-06-30T00:58:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2024-06-30T00:58:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","6009","S","KEDZIE AVE","823",,,,,,,"2","NONINCAPACITATING INJURY","1","0","0","1","0","0","0","0","1","6","41.784112822","-87.703136593","POINT (-87.703136593275 41.784112821704)"
"64f9726fd75a5303ed41882f3a30cf3e791fcbcf000a435f31d68919d8695ebd4655d145bfe468b9ea41151f52a798badb849123df56278176265ab61f8dc9e1",,"2024-06-30T00:52:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","INJURY AND / OR TOW DUE TO CRASH",,,"Y","OVER $1,500","2024-06-30T01:20:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","104","N","LAMON AVE","1532",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","0","1","6","41.881979079","-87.747929058","POINT (-87.747929057691 41.881979078842)"
"043cdd7924de3b4c54ad0235e5d8b7b3b2dd38cf44c3844bea4eae58b63b16fce0ae614aa3cac8ecc4a6309325b884896017febc56face8316df2ea962cb21fe",,"2024-06-30T00:48:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2024-06-30T01:26:00.000","IMPROPER OVERTAKING/PASSING","FAILING TO REDUCE SPEED TO AVOID CRASH","1","S","CICERO AVE","1113",,,,,,,"2","NONINCAPACITATING INJURY","2","0","0","2","0","3","0","0","1","6","41.880451176","-87.745128878","POINT (-87.745128877552 41.880451176199)"
"f5aebdcf3d147b1dd371888291ee8523becc892b9602d5b202232f563b07273bcdd0be7f2eb4c02e6db5f519f47c95fef8c7e69511d1fcf08cce6677596fdec3",,"2024-06-30T00:40:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","T-INTERSECTION",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","N",,,"OVER $1,500","2024-06-30T01:00:00.000","FAILING TO REDUCE SPEED TO AVOID CRASH","UNABLE TO DETERMINE","1653","W","CONGRESS PKWY","1231",,,,,,,"2","NONINCAPACITATING INJURY","2","0","0","2","0","1","0","0","1","6","41.875033341","-87.668753001","POINT (-87.668753001303 41.875033341441)"
"9eb111ab9bd7540cf5db27683e4c9279201fe02e59a1a214ee793c1148b2928d37b7994735c5490a7d39f8068d37103c8d01ca82af99ea253c85230225fbb96f",,"2024-06-29T23:55:00.000","40","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN BARRIER",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","$501 - $1,500","2024-06-30T00:30:00.000","IMPROPER OVERTAKING/PASSING","FAILING TO YIELD RIGHT-OF-WAY","1250","N","LAKE SHORE DR","1824",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","4","0","23","7","6","41.905473606","-87.625345321","POINT (-87.625345320884 41.905473606469)"
"b64bcb0e908f3d4cf5e5966ecf496596ed1a91986ba25a5bc719ca69aabb0ce50cca82826f33c8592f1fe39f337dc24964fe15072b012dde618663cb358c4132",,"2024-06-29T23:41:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","PEDALCYCLIST","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,,"$500 OR LESS","2024-06-29T23:41:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","1600","N","ASHLAND AVE","1433",,,,,,,"2","NONINCAPACITATING INJURY","1","0","0","1","0","2","0","23","7","6","41.910719243","-87.667840807","POINT (-87.66784080722 41.910719243344)"
"c4737f9f2ccfdba91d6c63cf4aeee3ce518561af3f9ad589c2df6fc6821b53f07ade94a26381e35ab39fa481d4f1b5837e10c92f24b5674666f4e7756d47b9c5",,"2024-06-29T23:25:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,"Y","OVER $1,500","2024-06-29T23:26:00.000","FAILING TO REDUCE SPEED TO AVOID CRASH","UNABLE TO DETERMINE","8605","S","ABERDEEN ST","613",,,,,,,"4","NONINCAPACITATING INJURY","2","0","0","2","0","1","0","23","7","6","41.737588072","-87.650809322","POINT (-87.650809321647 41.737588071768)"
