"person_id","person_type","crash_record_id","vehicle_id","crash_date","seat_no","city","state","zipcode","sex","age","drivers_license_state","drivers_license_class","safety_equipment","airbag_deployed","ejection","injury_classification","hospital","ems_agency","ems_run_no","driver_action","driver_vision","physical_condition","pedpedal_action","pedpedal_visibility","pedpedal_location","bac_result","bac_result_value","cell_phone_use"
"O1853618","DRIVER","16666580c2d289aedbbc29907671d4ff3a868ab972b6268c261df30b2ced1e003a66724b6f1821d24d80edcec4410d277969e34d59b6d5454c4a2be7cb5036b0","1765798","2024-06-30T02:47:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1853619","PEDESTRIAN","16666580c2d289aedbbc29907671d4ff3a868ab972b6268c261df30b2ced1e003a66724b6f1821d24d80edcec4410d277969e34d59b6d5454c4a2be7cb5036b0",,"2024-06-30T02:47:00.000",,"CHICAGO","IL","60624","F","30",,,"NONE PRESENT",,,"NONINCAPACITATING INJURY",,"CFD AMBO #44",,"NONE","UNKNOWN","NORMAL","NO ACTION","CONTRASTING CLOTHING","IN ROADWAY","TEST NOT OFFERED",,
"O1853597","DRIVER","1bef74541a6dc2d3aa275e59e5cff89dcca1d0ce4606950924c0ced8e5571f6c9f5d2623f54b3664d89a82a1013540386bd2531c1bda81e2363450e1ce856ae5","1765768","2024-06-30T02:30:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1853598","DRIVER","1bef74541a6dc2d3aa275e59e5cff89dcca1d0ce4606950924c0ced8e5571f6c9f5d2623f54b3664d89a82a1013540386bd2531c1bda81e2363450e1ce856ae5","1765769","2024-06-30T02:30:00.000",,"CHICAGO","IL","60626","M","61","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1853599","DRIVER","25c40ebde4b673920943cf494fb0a0a310e17059982e93b33f40ab8a8db17df2d68ca3c66fc3555bd988299c22576c314a4e68cbd655e1c3f7b7732348a5df68","1765770","2024-06-30T02:15:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1853600","DRIVER","25c40ebde4b673920943cf494fb0a0a310e17059982e93b33f40ab8a8db17df2d68ca3c66fc3555bd988299c22576c314a4e68cbd655e1c3f7b7732348a5df68","1765775","2024-06-30T02:15:00.000",,"CHICAGO","IL","60624","F","39","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1853580","DRIVER","1e65651466fad115e0f4990777ea60081430cd24db057483c080bb359c97075fd216e5875397ad4b2e0b6f0227d5a596d1d821e26b173aa836483932e3e62d84","1765755","2024-06-30T01:54:00.000",,"CHICAGO","IL","60639","M","32","IL","D","NONE PRESENT","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1853581","DRIVER","1e65651466fad115e0f4990777ea60081430cd24db057483c080bb359c97075fd216e5875397ad4b2e0b6f0227d5a596d1d821e26b173aa836483932e3e62d84","1765774","2024-06-30T01:54:00.000",,"WICHITA","KS","67203","M","38","KS",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1853592","DRIVER","a21029e641f23a50dde5db7d7ac35284e1ba95303666e2a4acfc31652db7327859e27963192adada8c3706d0b35b08093fda7f7f3e27dd82f1da7423f55d5e63","1765762","2024-06-30T01:00:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"P410017","PASSENGER","a21029e641f23a50dde5db7d7ac35284e1ba95303666e2a4acfc31652db7327859e27963192adada8c3706d0b35b08093fda7f7f3e27dd82f1da7423f55d5e63","1765762","2024-06-30T01:00:00.000","3",,"IL",,"X",,,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
